Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Greendale_5000-5277_Combined,-43.597316,172.180445,2161.200000,270.150000,1530.850000,12516.950000,54120.050000,0.000463,0.000018,0.000080,0.000653,0.003702
Hope Conway_666-675_Combined,-42.425213,173.292386,393.699443,34.546474,180.554215,695.492229,979.685866,0.002540,0.001021,0.001438,0.005539,0.028947
Hope Hope River_648_Matagouri Flat,-42.686832,172.056509,1636.600000,175.350000,876.750000,4500.650000,11865.350000,0.000611,0.000084,0.000222,0.001141,0.005703
Hundalee_5339-5365_Combined,-42.584562,173.416141,591.000000,29.550000,325.050000,1684.350000,4934.850000,0.001692,0.000203,0.000594,0.003076,0.033841
Jordan_766-794_Combined,-42.210785,173.723749,1614.836040,153.307219,848.299945,3689.593738,6673.974269,0.000619,0.000150,0.000271,0.001179,0.006523
Leader Central_5664-5686_Combined,-42.544741,173.283602,976.224099,133.121468,665.607340,5635.475480,24006.238069,0.001024,0.000042,0.000177,0.001502,0.007512
Leader North_5523-5543and5603_Combined,-42.441203,173.287058,602.825118,64.588406,322.942028,1743.886949,4801.071478,0.001659,0.000208,0.000573,0.003097,0.015483
Leader North_5677-5679_Combined,-42.459884,173.265977,605.754677,64.902287,324.511434,1752.361744,4824.403320,0.001651,0.000207,0.000571,0.003082,0.015408
Leader South_5658-5674_Combined,-42.598138,173.227687,811.357120,101.419640,439.485107,2873.556466,10310.996730,0.001233,0.000097,0.000348,0.002275,0.009860
Papatea_5389-5494_Combined ,-42.161982,173.868948,3914.000000,489.250000,3033.350000,26908.750000,101666.150000,0.000255,0.000010,0.000037,0.000330,0.002044
The Humps_5565-5696_Combined ,-42.618360,173.077671,1167.300000,64.850000,713.350000,6938.950000,31971.050000,0.000857,0.000031,0.000144,0.001402,0.015420
Wairau_5519-5522_Combined Zinke,-41.588269,173.486152,2054.618317,211.090923,1083.600071,4714.363946,8626.582384,0.000487,0.000116,0.000212,0.000923,0.004737
Waitawhiti_5369-5379_Combined,-40.662689,176.091516,3019.200000,283.050000,2170.050000,18775.650000,74253.450000,0.000331,0.000013,0.000053,0.000461,0.003533
Whitemans Valley_1023_Whitemans Valley trench,-41.193101,175.015530,4412.500000,617.750000,2912.250000,20209.250000,66452.250000,0.000227,0.000015,0.000049,0.000343,0.001619
Fox Peak_4035_Trench 4,-43.872320,170.828035,1615.900000,186.450000,1056.550000,5158.450000,18458.550000,0.000619,0.000054,0.000194,0.000946,0.005363
