Site,Lat,Lon,MRI (yr),2.3%,15.9%,64.1%,97.7%,Mean Rate,2.3%,15.9%,64.1%,97.7%
Hundalee_5339-5365_Combined,-42.584562,173.416141,777.202073,69.159677,341.067079,1745.312521,5107.826119,0.001287,0.000196,0.000573,0.002932,0.014459
Jordan_766-794_Combined,-42.210785,173.723749,1893.129771,172.414825,861.642319,3725.037392,6846.861025,0.000528,0.000146,0.000268,0.001161,0.005800
Leader Central_5664-5686_Combined,-42.544741,173.283602,2666.666667,151.480028,728.900353,5953.564784,29899.113117,0.000375,0.000033,0.000168,0.001372,0.006602
Leader North_5523-5543and5603_Combined,-42.441203,173.287058,800.000000,71.446901,352.479164,1776.711966,4977.800646,0.001250,0.000201,0.000563,0.002837,0.013996
Leader North_5677-5679_Combined,-42.459884,173.265977,800.000000,70.678402,351.713677,1785.608253,5002.270368,0.001250,0.000200,0.000560,0.002843,0.014149
Leader South_5658-5674_Combined,-42.598138,173.227687,1212.121212,103.151102,505.275279,2941.498942,11199.910484,0.000825,0.000089,0.000340,0.001979,0.009695
Papatea_5389-5494_Combined ,-42.161982,173.868948,25600.000000,653.777440,3127.838817,29790.331983,167975.261724,0.000039,0.000006,0.000034,0.000320,0.001530
The Humps_5565-5696_Combined ,-42.618360,173.077671,3698.620001,174.037679,837.986773,7298.903538,39244.024580,0.000270,0.000025,0.000137,0.001193,0.005746
Wairau_5519-5522_Combined Zinke,-41.588269,173.486152,2410.958904,219.684673,1096.814144,4758.945239,8840.904210,0.000415,0.000113,0.000210,0.000912,0.004552
Waitawhiti_5369-5379_Combined,-40.662689,176.091516,12000.000000,467.218417,2260.824767,20178.910588,100651.601636,0.000083,0.000010,0.000050,0.000442,0.002140
Whitemans Valley_1023_Whitemans Valley trench,-41.193101,175.015530,8866.951381,626.431798,3031.788231,21540.962344,87841.192515,0.000113,0.000011,0.000046,0.000330,0.001596
