along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),slip_deficit (mm/yr),tile_geometry
65,0,-175.73726398788955,-27.711082282887947,-175.7947319231195,-27.972900804079565,4.572662413707773,8.637212925702416,11.028912562432872,41.252479781100206,"POLYGON Z ((2677271.263462782 6863063.887336846 -11028.91256243287, 2705967.782519462 6854650.233738241 -8637.212925702415, 2714408.302035273 6883438.384604582 -8637.212925702415, 2685711.782978593 6891852.038203186 -11028.91256243287, 2677271.263462782 6863063.887336846 -11028.91256243287))"
65,1,-176.01221508206098,-27.608703912278163,-176.0727008912093,-27.870171622381815,8.120807159734186,10.497676351156924,14.73549894538395,41.252479781100206,"POLYGON Z ((2650947.799655355 6877256.080953177 -14735.49894538395, 2679382.283259173 6868681.642088505 -10497.67635115692, 2688043.57387665 6897404.142760271 -10497.67635115692, 2659609.090272831 6905978.581624943 -14735.49894538395, 2650947.799655355 6877256.080953177 -14735.49894538395))"
65,2,-176.28668519661198,-27.505695907487958,-176.348446180101,-27.767109000867734,16.579292992261212,14.350532054361759,22.910792226594218,41.25247978110019,"POLYGON Z ((2625463.56478236 6891003.75835746 -22910.79222659422, 2652976.996124667 6882653.127150431 -14350.53205436176, 2661689.857928848 6911360.025958579 -14350.53205436176, 2634176.42658654 6919710.657165607 -22910.79222659422, 2625463.56478236 6891003.75835746 -22910.79222659422))"
65,3,-176.5520268400314,-27.405905533274552,-176.6138733983361,-27.66747370264283,26.793669067799005,23.027441694867157,36.55080902850454,41.252479781100234,"POLYGON Z ((2601880.746979561 6903800.315773233 -36550.80902850454, 2627522.164620774 6896077.865559187 -23027.44169486716, 2636173.455168245 6924803.379860296 -23027.44169486716, 2610532.037527032 6932525.830074342 -36550.80902850454, 2601880.746979561 6903800.315773233 -36550.80902850454))"
65,4,-176.7965198435806,-27.31344142887371,-176.85827412255236,-27.57518109523975,34.37831892860591,36.90245525955988,53.842097310094815,41.25247978110018,"POLYGON Z ((2580326.635251053 6915518.497829395 -53842.09731009482, 2604052.652940068 6908438.624114402 -36902.45525955988, 2612630.915586308 6937186.03112742 -36902.45525955988, 2588904.897897292 6944265.904842414 -53842.09731009482, 2580326.635251053 6915518.497829395 -53842.09731009482))"
66,0,-175.67412626528747,-27.43821749133545,-175.7114759984092,-27.702824486209117,4.537910029417473,8.472875462646545,10.846436272967214,41.62918455741054,"POLYGON Z ((2687862.716499569 6890576.104314014 -10846.43627296721, 2717064.570082822 6884124.906256137 -8472.875462646545, 2723536.054934078 6913418.589599479 -8472.875462646545, 2694334.201350824 6919869.787657356 -10846.43627296721, 2687862.716499569 6890576.104314014 -10846.43627296721))"
66,1,-175.9462388237068,-27.338150071480314,-175.9913365209552,-27.601988678175715,7.985085867317806,10.274779236748419,14.442239099439561,41.629184557410554,"POLYGON Z ((2661342.799681443 6905058.961317218 -14442.23909943956, 2690193.365414457 6897968.32416828 -10274.77923674842, 2697353.424621162 6927101.356144997 -10274.77923674842, 2668502.858888148 6934191.993293935 -14442.23909943956, 2661342.799681443 6905058.961317218 -14442.23909943956))"
66,2,-176.21739337827816,-27.238486944357003,-176.27029962533416,-27.501355092826195,16.229864317720473,13.994124500528251,22.378872579799058,41.62918455741056,"POLYGON Z ((2635567.49567478 6919244.498557954 -22378.87257979906, 2663367.099952043 6911702.747986982 -13994.12450052825, 2671221.878068209 6940656.201334481 -13994.12450052825, 2643422.273790947 6948197.951905454 -22378.87257979906, 2635567.49567478 6919244.498557954 -22378.87257979906))"
66,3,-176.48182277980234,-27.139707515291033,-176.5371138686581,-27.40235910362111,26.31479803869106,22.418521075307684,35.717602544108175,41.62918455741056,"POLYGON Z ((2611782.983691617 6932261.538052899 -35717.60254410817, 2637695.670610594 6925073.555809927 -22418.52107530768, 2645714.643215325 6953981.964246999 -22418.52107530768, 2619801.956296348 6961169.94648997 -35717.60254410817, 2611782.983691617 6932261.538052899 -35717.60254410817))"
66,4,-176.7279248985965,-27.04593457346025,-176.78102426364893,-27.30910509015884,33.92589895132323,36.00489480177708,52.748501875106726,41.62918455741056,"POLYGON Z ((2590168.004809263 6943964.203171771 -52748.50187510673, 2614218.334419816 6937542.889614741 -36004.89480177707, 2621957.093677575 6966527.568414936 -36004.89480177707, 2597906.764067022 6972948.881971966 -52748.50187510673, 2590168.004809263 6943964.203171771 -52748.50187510673))"
