along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),dip (deg),top_depth (km),bottom_depth (km),slip deficit rate (mm/yr),tile_geometry,,,,
32,2,164.762607195551,-48.05729393888446,164.72707600435382,-48.189502474518854,17.102356958455253,12.466058706418702,16.877253353519247,6.468918,"POLYGON Z ((1000738.752912231 4643408.64540701 -16877.25335351925, 986437.5710566572 4644417.386860104 -12466.0587064187, 985382.1603093366 4629454.562656283 -12466.0587064187, 999683.3421649106 4628445.821203189 -16877.25335351925, 1000738.752912231 4643408.64540701 -16877.25335351925))"
32,3,164.92712529257636,-48.119970958730626,164.89177325622973,-48.25223109908473,16.95455423732638,17.43518432007964,21.80938071143407,6.478041,"POLYGON Z ((1013728.660456237 4637741.571476434 -21809.38071143407, 999417.0858277682 4638763.940090793 -17435.18432007964, 998348.2622479507 4623802.068010227 -17435.18432007964, 1012659.836876419 4622779.699395868 -21809.38071143407, 1013728.660456237 4637741.571476434 -21809.38071143407))"
32,4,165.09401771463098,-48.18313548340772,165.05887675052475,-48.31545055640841,17.156355328035815,21.883278495973496,26.3079828084695,6.487701,"POLYGON Z ((1026844.838102308 4632015.129692219 -26307.9828084695, 1012549.510746335 4633047.412372756 -21883.2784959735, 1011469.155881119 4618086.368513279 -21883.2784959735, 1025764.483237092 4617054.085832742 -26307.9828084695, 1026844.838102308 4632015.129692219 -26307.9828084695))"
32,5,165.2633164151411,-48.247207570099405,165.22914051977722,-48.379664669823484,17.1202167360155,25.606442500165205,30.02210585749454,6.498065,"POLYGON Z ((1040142.067658335 4626230.492976961 -30022.10585749454, 1025840.937665082 4627220.2394247 -25606.44250016521, 1024805.301347303 4612256.033551441 -25606.44250016521, 1039106.431340556 4611266.287103701 -30022.10585749454, 1040142.067658335 4626230.492976961 -30022.10585749454))"
32,6,165.4360709854535,-48.31113255242718,165.40116923853967,-48.44353465538449,18.746438202361254,28.733856414384864,33.55456539457904,6.508692,"POLYGON Z ((1053520.837541521 4620346.412690686 -33554.56539457904, 1039356.16454408 4621406.037059904 -28733.85641438486, 1038237.178065226 4606447.832981201 -28733.85641438486, 1052401.851062667 4605388.208611983 -33554.56539457904, 1053520.837541521 4620346.412690686 -33554.56539457904))"
33,0,164.39241301779265,-48.069340224618486,164.35522101589845,-48.20128699349858,17.609657444169756,5.276358423343247,9.81431668448941,6.510729,"POLYGON Z ((973294.9733623529 4638988.940560903 -9814.316684489411, 959036.987067938 4640045.710000454 -5276.358423343247, 957928.2624473406 4625086.741796875 -5276.358423343247, 972186.2487417556 4624029.972357324 -9814.316684489411, 973294.9733623529 4638988.940560903 -9814.316684489411))"
33,1,164.56255588588314,-48.13465916225275,164.525095988221,-48.26660508058899,17.46065715903855,8.454980496594887,12.955743207116296,6.519308,"POLYGON Z ((986763.1159802999 4633102.574086815 -12955.74320711629, 972496.8649336803 4634205.849255756 -8454.980496594886, 971340.2989141766 4619250.503888881 -8454.980496594886, 985606.5499607963 4618147.228719939 -12955.74320711629, 986763.1159802999 4633102.574086815 -12955.74320711629))"
33,2,164.73146926142562,-48.199346845888414,164.69417984785562,-48.331346518326654,17.071420470166657,12.089431000923382,16.492883988827856,6.528345,"POLYGON Z ((1000121.999024173 4627277.518075677 -16492.88398882786, 985826.6736739934 4628397.015693288 -12089.43100092338, 984655.5770290468 4613442.801148612 -12089.43100092338, 998950.9023792262 4612323.303531 -16492.88398882786, 1000121.999024173 4627277.518075677 -16492.88398882786))"
33,3,164.89753187873333,-48.26252689200809,164.86042525574848,-48.3945804198273,16.949357722621873,16.74808538427223,21.12098044313646,6.537636,"POLYGON Z ((1013200.297373001 4621571.466380817 -21120.98044313646, 998896.652284127 4622704.394434886 -16748.08538427223, 997712.2783450803 4607751.225594386 -16748.08538427223, 1012015.923433954 4606618.297540316 -21120.98044313646, 1013200.297373001 4621571.466380817 -21120.98044313646))"
33,4,165.06450851411105,-48.32549224047641,165.02730796833956,-48.45756440910769,17.157172704244335,21.263470869405396,25.688379648264245,6.547327,"POLYGON Z ((1026287.383755098 4615850.376947192 -25688.37964826425, 1012002.286365012 4617014.926153765 -21263.4708694054, 1010783.500110112 4602064.522812555 -21263.4708694054, 1025068.597500198 4600899.973605982 -25688.37964826425, 1026287.383755098 4615850.376947192 -25688.37964826425))"
