%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId, parentSectionId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
534,121,0.45,0.16807,3.415
535,121,0.55,0.20252,3.5761
536,121,0.5,0.20803,3.433
537,122,0.7,0.22417,6.3035
538,122,0.7,0.22417,6.3035
539,123,0.65,0.24849,4.1818
540,123,0.8,0.26567,4.6192
541,123,0.95,0.28285,5.0566
542,124,0.25,0.095537,4.8421
543,124,0.25,0.095537,4.8421
544,125,3.015,2.1647,3.7298
545,125,3.015,2.1647,3.7298
546,125,3.075,2.4638,3.9401
547,125,3.075,2.4638,3.9401
548,126,15,11.01,17.02
549,126,13.5,12.2,16.2
550,126,2.3,1.2,4.8
551,126,17.3,12.8,21.8
552,127,10.9,8.4,13.4
553,127,17.3,12.8,21.8
554,127,4.3,3.1,5.5
555,127,0,0,0
556,128,1.85,1.4073,4.5601
557,128,1.55,1.0936,4.4318
558,129,2.25,1.7003,4.6955
559,129,2.25,1.7003,4.6955
560,130,0.27,0.065891,0.71269
561,130,0.31,0.076977,0.71567
562,131,3.1833,2.1168,5.1166
563,131,3.0333,1.9685,4.8653
564,131,4.075,3.1741,6.7457
565,131,3.35,2.5538,5.5914
566,131,2.875,1.958,4.829
567,132,0.65,0.41423,3.4961
568,132,0.85,0.54707,3.9743
569,132,0.95,0.59363,4.0385
570,132,1,0.58716,4.3564
571,133,0.85,0.65723,1.3598
572,133,0.84167,0.557,1.3512
573,133,0.675,0.29395,1.2692
574,133,0.9375,0.45671,1.5134
575,134,3,1,4
576,134,0.3,0.1,0.5
577,135,0,0,0
578,135,23,20,26
579,135,2,1,3
580,135,0.5,0.25,1
581,136,1.5,1,2
582,136,2,1,3
583,137,20,18,22
584,137,1,0.5,1.5
585,137,0.5,0.3,1
586,138,0,0,0
587,138,0.7,0.5,0.9
588,139,0,0,0
589,139,0,0,0
590,139,0,0,0
591,139,2.3,1.2,4.8
592,139,6.4,4.4,8.4
593,139,13,9.7,16.3
594,139,1,0.5,1.7
595,140,0.415,0.23366,0.77145
596,140,0.4525,0.21469,0.77791
597,140,0.49,0.19572,0.78437
598,141,0.615,0.22707,1.3861
599,141,0.645,0.20474,1.4031
600,141,0.555,0.16055,1.315
601,141,0.575,0.16634,1.3503
602,141,0.54,0.1797,1.3665
603,141,0.495,0.19017,1.365
604,141,0.525,0.26523,1.4347
605,142,0.275,0.10017,2.6404
606,142,0.325,0.13478,2.9003
607,142,0.39,0.14734,2.9702
608,142,0.45,0.14022,2.88
609,143,0.65,0.25026,3.7588
610,143,1.25,0.84206,4.4539
611,143,1.55,0.86206,5.1603
612,143,1.75,1.0003,5.222
613,144,0.35,0.16534,3.4292
614,144,0.45,0.20884,4.0047
615,145,0.25,0.07706,3.4784
616,145,0.15,0.052783,3.6458
617,145,0.15,0.049124,3.1719
618,146,0.35,0.13496,3.5783
619,146,0.61667,0.26105,4.1454
620,146,0.75,0.37389,4.2479
621,147,1.5,0.72283,3.2297
622,147,1.525,0.74815,3.1598
623,147,1.625,0.86683,3.3445
624,147,1.225,0.61982,2.9632
625,148,0.46,0.17849,0.80054
626,148,0.46,0.17849,0.80138
627,148,0.43,0.15669,0.77227
628,148,0.43,0.14929,0.76149
629,149,0.75,0.26461,1.8749
630,149,0.60833,0.22808,1.8025
631,149,0.5,0.1806,1.7362
632,149,0.575,0.22742,1.7484
633,149,0.675,0.2756,1.8073
634,149,0.58,0.22455,1.7162
635,149,0.655,0.27694,1.7561
636,149,0.80833,0.34023,1.8659
637,149,0.825,0.31506,1.8369
638,149,0.725,0.35099,1.918
639,150,3.1,2.0563,4.9658
640,150,2.475,1.533,4.404
641,150,2.4917,1.6282,4.5908
642,150,2.75,1.8612,4.8653
643,150,2.95,2.1218,5.1579
644,150,3.05,1.9923,5.2714
645,150,3.05,2.0703,5.4055
646,150,2.85,1.8037,5.2359
647,151,0.725,0.40682,2.4729
648,151,0.9,0.46063,2.6346
649,151,0.9375,0.48761,2.4931
650,151,1.075,0.53795,2.418
651,152,1.35,0.73141,3.8846
652,152,1.35,0.73141,3.8846
653,153,0.9,0.20531,7.802
654,153,0.9,0.27057,7.1991
655,153,0.725,0.29441,5.3807
656,153,0.55,0.18772,4.7681
657,154,0.25,0.084163,3.6057
658,154,0.35,0.1161,3.8377
659,154,0.45,0.14804,4.0697
660,155,0.785,0.25337,1.4286
661,155,0.885,0.3115,1.5193
662,156,0.95,0.34852,4.2755
663,156,0.95,0.39024,4.4532
664,157,0.43,0.16136,0.78597
665,157,0.47,0.16186,0.78045
666,157,0.47,0.16995,0.79103
667,158,0.49,0.20161,0.81103
668,158,0.445,0.17995,0.77246
669,158,0.49,0.20152,0.81213
670,159,0.425,0.12752,1.9508
671,159,0.425,0.15159,2.0772
672,159,0.275,0.087758,1.8316
673,160,0.35,0.092672,0.7186
674,160,0.374,0.11244,0.73717
675,160,0.41,0.1421,0.76501
676,161,1.05,0.49795,3.3767
677,161,1.15,0.53663,3.4328
678,161,1,0.45956,3.5256
679,161,0.75,0.32549,3.5288
680,162,0.98333,0.46827,4.233
681,162,1.11,0.55349,4.407
682,162,0.95,0.43621,4.1823
683,163,0.71,0.1167,0.71918
684,163,0.71,0.1167,0.71918
685,164,0.15,0.1,0.3
686,164,0.9,0.1,1.8
687,164,0,0,0
688,164,0.12,0.06,0.24
689,164,0.9,0.44,1.8
690,164,0.9,0.1,1.8
691,165,0.37,0.13945,0.78188
692,165,0.35,0.11403,0.72824
693,166,0.33667,0.10351,0.69632
694,166,0.355,0.097306,0.67583
695,166,0.365,0.11261,0.65955
696,167,0.525,0.20238,2.5024
697,167,0.525,0.20082,2.4416
698,167,0.325,0.11251,2.2717
699,168,4.775,3.3693,5.7222
700,168,6.125,4.9132,6.882
701,169,0.7,0.28757,8.2881
702,169,0.7,0.28757,8.2881
703,170,0.425,0.16474,2.4244
704,170,0.375,0.11883,2.3947
705,170,0.425,0.15535,2.6435
706,170,0.45,0.17361,2.7679
707,171,1.175,0.44508,2.6492
708,171,1.175,0.44508,2.6492
709,171,2.125,1.3294,3.7292
710,172,3.875,2.831,5.6842
711,172,3.725,2.7122,5.3705
712,173,0.56,0.23709,0.84815
713,173,0.43,0.15962,0.75351
714,173,0.37,0.11885,0.704
715,174,0.675,0.35701,2.5443
716,174,0.475,0.18248,2.3863
717,174,0.575,0.29454,2.5105
718,174,0.425,0.16307,2.0856
719,174,0.525,0.16237,2.2514
720,175,1.25,0.63756,4.2901
721,175,1.25,0.63756,4.2901
722,176,1.75,0.98406,5.0115
723,176,2.05,1.3264,5.3203
724,176,2.05,1.3264,5.3203
725,176,2.45,1.6543,5.2673
726,176,2.25,1.5276,5.8217
727,177,2.375,1.5693,4.0191
728,177,2.225,1.2983,3.8129
729,177,3.275,2.2882,4.81
