%slip deficit rates and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId, parentSectionId, slip deficit rate (most probable rate), lower 95 confidence level, upper 95 confidence level 
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
534,121,0.42,0.15368,1.2329
535,121,0.435,0.17044,1.2448
536,121,0.42,0.17447,1.2563
537,122,0.525,0.14981,1.2473
538,122,0.525,0.14981,1.2473
539,123,0.51,0.16929,1.0297
540,123,0.47,0.14396,0.99454
541,123,0.43,0.11863,0.95941
542,124,0.405,0.12135,1.1311
543,124,0.405,0.12135,1.1311
544,125,3.075,1.8401,4.3313
545,125,3.075,1.8401,4.3313
546,125,2.875,1.7935,3.524
547,125,2.875,1.7935,3.524
548,126,15,11.01,17.02
549,126,13.5,12.2,16.2
550,126,2.3,1.2,4.8
551,126,17.3,12.8,21.8
552,127,10.9,8.4,13.4
553,127,17.3,12.8,21.8
554,127,4.3,3.1,5.5
555,127,0,0,0
556,128,1.325,0.92202,2.8396
557,128,1.425,0.35044,2.7368
558,129,2.325,1.4431,4.125
559,129,2.325,1.4431,4.125
560,130,0.21,0.061192,0.62369
561,130,0.21,0.056557,0.63135
562,131,1.625,0.66615,2.3543
563,131,1.245,0.636,1.9998
564,131,1.6517,0.71732,2.35
565,131,1.775,0.7052,2.4584
566,131,1.675,0.71391,2.4423
567,132,0.62,0.30081,1.2369
568,132,0.76833,0.32425,1.3013
569,132,0.73875,0.33284,1.2759
570,132,0.55625,0.27825,1.2392
571,133,0.77,0.34063,1.2699
572,133,0.77833,0.3391,1.353
573,133,0.715,0.30827,1.4132
574,133,0.7575,0.28816,1.5706
575,134,3,1,4
576,134,0.3,0.1,0.5
577,135,0,0,0
578,135,23,20,26
579,135,2,1,3
580,135,0.5,0.25,1
581,136,1.5,1,2
582,136,2,1,3
583,137,20,18,22
584,137,1,0.5,1.5
585,137,0.5,0.3,1
586,138,0,0,0
587,138,0.7,0.5,0.9
588,139,0,0,0
589,139,0,0,0
590,139,0,0,0
591,139,2.3,1.2,4.8
592,139,6.4,4.4,8.4
593,139,13,9.7,16.3
594,139,1,0.5,1.7
595,140,0.375,0.18436,0.73301
596,140,0.3725,0.15333,0.71627
597,140,0.37,0.1223,0.69953
598,141,0.51,0.1655,1.0815
599,141,0.52,0.17587,1.0328
600,141,0.53,0.17002,1.0313
601,141,0.43667,0.15314,0.95497
602,141,0.41,0.14113,0.91294
603,141,0.43,0.13755,0.90906
604,141,0.35,0.090707,0.92947
605,142,0.405,0.11433,1.2254
606,142,0.445,0.15617,1.19
607,142,0.453,0.15819,1.1507
608,142,0.435,0.12983,1.1184
609,143,1.275,0.23042,2.5793
610,143,1.425,0.57976,2.548
611,143,1.275,0.54838,2.6411
612,143,1.5,0.51358,2.6223
613,144,0.285,0.13337,1.5511
614,144,0.555,0.22,1.5719
615,145,0.135,0.048444,1.3906
616,145,0.255,0.079127,1.4568
617,145,0.255,0.087955,1.4159
618,146,0.285,0.10428,1.2095
619,146,0.315,0.11653,1.2761
620,146,0.375,0.12673,1.2569
621,147,0.615,0.20858,1.374
622,147,0.585,0.17916,1.336
623,147,0.795,0.22847,1.517
624,147,0.645,0.24838,1.2698
625,148,0.4,0.13488,0.73811
626,148,0.42,0.14009,0.7432
627,148,0.41,0.13771,0.74302
628,148,0.4,0.12809,0.72439
629,149,0.4675,0.18578,1.0984
630,149,0.39667,0.14714,0.97463
631,149,0.42,0.13042,0.97295
632,149,0.45,0.16092,1.0422
633,149,0.55,0.17516,1.0543
634,149,0.44,0.16519,1.0087
635,149,0.46,0.17754,1.0565
636,149,0.49,0.19679,1.0813
637,149,0.46,0.1793,1.0785
638,149,0.47,0.18646,1.0684
639,150,1.08,0.41443,1.7134
640,150,0.705,0.26925,1.3138
641,150,0.775,0.34074,1.416
642,150,0.795,0.34685,1.4519
643,150,0.885,0.39218,1.5403
644,150,0.825,0.34316,1.7768
645,150,1.125,0.42618,1.9865
646,150,1.035,0.38739,1.8775
647,151,0.945,0.50939,1.6739
648,151,0.9,0.40534,1.6788
649,151,0.81,0.354,1.6161
650,151,0.285,0.23475,1.4632
651,152,0.795,0.30101,1.3498
652,152,0.795,0.30101,1.3498
653,153,0.3,0.08433,5.2788
654,153,0.5,0.18971,5.2663
655,153,0.8,0.32275,5.3919
656,153,0.7,0.24502,5.5425
657,154,0.45,0.12476,3.765
658,154,0.45,0.12946,3.8347
659,154,0.45,0.13416,3.9043
660,155,0.41,0.13518,0.96921
661,155,0.41,0.14842,1.0071
662,156,0.45,0.14113,1.0426
663,156,0.49,0.1624,1.0833
664,157,0.39,0.12507,0.72456
665,157,0.37,0.11818,0.6921
666,157,0.39667,0.13232,0.71721
667,158,0.43,0.14316,0.74409
668,158,0.41,0.13581,0.73161
669,158,0.47,0.16404,0.78027
670,159,0.33,0.085026,0.82055
671,159,0.35667,0.11421,0.95626
672,159,0.23,0.07345,0.80744
673,160,0.25,0.080058,0.65713
674,160,0.306,0.096923,0.67281
675,160,0.39,0.12222,0.69634
676,161,0.5475,0.19406,1.1591
677,161,0.5175,0.1967,1.1313
678,161,0.525,0.18343,1.1792
679,161,0.465,0.14651,1.1678
680,162,0.45333,0.16613,1.086
681,162,0.458,0.16153,1.0634
682,162,0.41,0.11475,0.98922
683,163,0.345,0.11513,0.58327
684,163,0.345,0.11513,0.58327
685,164,0.15,0.1,0.3
686,164,0.9,0.1,1.8
687,164,0,0,0
688,164,0.12,0.06,0.24
689,164,0.9,0.44,1.8
690,164,0.9,0.1,1.8
691,165,0.29,0.098823,0.67251
692,165,0.29,0.090906,0.67598
693,166,0.32833,0.089783,0.63363
694,166,0.275,0.070829,0.59276
695,166,0.275,0.079134,0.60121
696,167,0.47667,0.16218,1.0721
697,167,0.41,0.16217,1.0671
698,167,0.33,0.11122,0.98255
699,168,2.225,0.30315,2.7054
700,168,3.25,0.32036,3.7002
701,169,0.65,0.24296,4.5929
702,169,0.65,0.24296,4.5929
703,170,0.41,0.14153,1.0521
704,170,0.35,0.090255,0.98362
705,170,0.40333,0.12982,1.0256
706,170,0.43,0.14961,1.0466
707,171,0.495,0.16956,1.3448
708,171,0.495,0.16956,1.3448
709,171,0.825,0.24732,1.587
710,172,4.15,2.5571,5.9886
711,172,3.35,2.4408,5.6113
712,173,0.37,0.11921,0.70735
713,173,0.355,0.097691,0.64509
714,173,0.295,0.076191,0.64179
715,174,0.7125,0.22136,1.3068
716,174,0.51,0.15144,1.033
717,174,0.54,0.22836,1.3834
718,174,0.495,0.20476,1.4111
719,174,0.61,0.29082,1.0688
720,175,2.225,1.6454,3.8733
721,175,2.225,1.6454,3.8733
722,176,1.225,0.68938,3.0118
723,176,1.375,0.76232,2.5978
724,176,1.375,0.76232,2.5978
725,176,1.635,0.79176,2.3087
726,176,1.485,0.75968,2.2341
727,177,0.85,0.29348,1.9766
728,177,0.675,0.27886,1.5244
729,177,0.675,0.2892,2.5394
730,177,0.65,0.26441,1.8884
731,177,0.575,0.22749,1.919
732,177,0.375,0.16015,1.7919
733,178,0.47,0.19901,0.93975
734,178,0.322,0.10162,0.83804
735,178,0.49,0.16181,0.91777
736,178,0.43,0.15063,0.88928
737,178,0.37667,0.13645,0.87413
738,178,0.46,0.15987,0.97702
739,179,0.255,0.065124,0.62521
