%slip deficit rates, uniform stddev and upper and lower 95 confidence bounds (mm/yr) for subsections in model:  crustal CFM 0.9 SansTVZ Stirling 2010 depths
%columns indicate:  sectionId,parentSectionId,slip deficit rate (most probable rate),uniform stddev,lower 95 confidence level,upper 95 confidence level
%xml files for subsection definitions: https://github.com/GNS-Science/nzshm-opensha/issues/27
309,37,0.9,3.9055000000000004,0.5583,8.3693
310,38,8.25,4.12735,1.4678,9.7225
311,38,8.25,4.12735,1.4678,9.7225
312,38,8.25,4.12735,1.4678,9.7225
313,38,8.25,4.12735,1.4678,9.7225
314,38,8.55,4.2109,1.4778,9.8996
315,38,8.55,4.2109,1.4778,9.8996
316,38,8.55,4.2109,1.4778,9.8996
317,38,8.55,4.2109,1.4778,9.8996
318,38,8.55,4.2414,1.4663,9.9491
319,38,8.55,4.27195,1.4547,9.9986
320,38,8.55,4.27195,1.4547,9.9986
321,38,8.55,4.27195,1.4547,9.9986
322,38,8.55,4.27195,1.4547,9.9986
323,38,9.15,4.24625,1.2938,9.7863
324,38,9.15,4.24625,1.2938,9.7863
325,38,9.15,4.24625,1.2938,9.7863
326,38,9.15,4.24625,1.2938,9.7863
327,38,9.3,4.2789,1.2707,9.8285
328,38,9.45,4.311649999999999,1.2475,9.8708
329,38,9.45,4.311649999999999,1.2475,9.8708
330,38,9.45,4.311649999999999,1.2475,9.8708
331,38,9.45,4.311649999999999,1.2475,9.8708
332,38,9.45,4.311649999999999,1.2475,9.8708
333,38,9.15,4.0357,1.9286,10
334,38,9.15,4.0357,1.9286,10
335,38,9.15,4.0357,1.9286,10
336,38,9.15,4.0357,1.9286,10
337,38,9.15,4.2317,1.2293,9.6927
338,38,9.15,4.2317,1.2293,9.6927
339,38,9.15,4.2317,1.2293,9.6927
340,38,9.15,4.2317,1.2293,9.6927
341,38,9.15,4.2317,1.2293,9.6927
342,38,9.75,4.18395,1.3967,9.7646
343,38,9.75,4.18395,1.3967,9.7646
344,38,9.75,4.18395,1.3967,9.7646
345,38,9.75,4.18395,1.3967,9.7646
346,38,9.75,4.18395,1.3967,9.7646
347,39,4.55,1.8463999999999998,3.4693,7.1621
