along_strike_index,down_dip_index,lon1(deg),lat1(deg),lon2(deg),lat2(deg),top_depth (km),bottom_depth (km),slip_deficit (mm/yr),tile_geometry,interpolation_method,centroid_longitude_deg,centroid_latitude_deg
8,2,174.26907235090613,-42.18037304203127,174.14888138645202,-42.28170150144831,16.30363171769208,18.767118683561314,8.835413256516013,"POLYGON Z ((1683767.88878023 5328247.81887584 -18767.1186835613, 1694727.43181167 5318307.01163946 -16303.6317176921, 1704805.07670451 5329417.41547613 -16303.6317176921, 1693845.53367307 5339358.22271251 -18767.1186835613, 1683767.88878023 5328247.81887584 -18767.1186835613))",2d_linear_centroids_interior,174.14182455402127,-42.18697709126157
8,3,174.13233697730354,-42.09734151444228,174.00804971188498,-42.195793725954644,18.772897364212845,22.198946890811833,11.379742641443254,"POLYGON Z ((1672711.07408941 5338124.50586947 -22198.9468908118, 1683228.29753263 5327992.86258288 -18772.8973642128, 1693635.02599745 5338795.64012662 -18772.8973642128, 1683117.80255423 5348927.28341321 -22198.9468908118, 1672711.07408941 5338124.50586947 -22198.9468908118))",2d_linear_centroids_interior,174.00588715337474,-42.10154194711068
8,4,173.99731335468093,-42.010249214999135,173.87602146844216,-42.110644691203234,22.184726483723935,26.529024163954702,12.523523999424265,"POLYGON Z ((1661860.36948676 5347290.09316506 -26529.0241639547, 1672424.48712381 5337567.61939466 -22184.7264837239, 1682582.30720395 5348604.76989738 -22184.7264837239, 1672018.1895669 5358327.24366778 -26529.0241639547, 1661860.36948676 5347290.09316506 -26529.0241639547))",2d_linear_centroids_interior,173.8722840042378,-42.01718782059312
8,5,173.8650713740952,-41.92782022336216,173.7417599233041,-42.02673375611485,26.473644460150418,31.820907723322854,12.132354815210881,"POLYGON Z ((1651233.97288687 5356630.58976608 -31820.9077233229, 1661405.25418471 5346989.43774184 -26473.6444601504, 1671724.35741549 5357875.94813372 -26473.6444601504, 1661553.07611764 5367517.10015796 -31820.9077233229, 1651233.97288687 5356630.58976608 -31820.9077233229))",2d_linear_centroids_interior,173.7415793343243,-41.93429252096521
8,6,173.73638109035514,-41.84402057900704,173.61613979443007,-41.94491773665558,31.882778226556336,38.26434438870902,8.882473394185755,"POLYGON Z ((1641004.45855632 5365262.71854053 -38264.344388709, 1651071.32155728 5356155.91434598 -31882.7782265563, 1661134.225459 5367279.67113336 -31882.7782265563, 1651067.36245804 5376386.47532791 -38264.344388709, 1641004.45855632 5365262.71854053 -38264.344388709))",2d_linear_centroids_interior,173.61524081443292,-41.85381656263014
8,7,173.61143631550485,-41.76126382997973,173.49639651781084,-41.86540553182867,38.27289201874677,45.462530556634455,4.784694298648606,"POLYGON Z ((1631103.29696534 5373499.82633507 -45462.5305566345, 1641196.95439518 5365048.36626101 -38272.8920187468, 1650826.64475228 5376549.19508446 -38272.8920187468, 1640732.98732244 5385000.65515853 -45462.5305566345, 1631103.29696534 5373499.82633507 -45462.5305566345))",2d_linear_centroids_interior,173.49291182140377,-41.77556627843252
9,0,174.68393181777122,-42.22638385140843,174.66687557524688,-42.36085026860894,11.346729040438788,13.364349268488752,0.7438589333025041,"POLYGON Z ((1722497.89069231 5310496.68790818 -13364.3492684888, 1737265.81304911 5308812.14705709 -11346.7290404388, 1738965.80254514 5323715.50358216 -11346.7290404388, 1724197.88018835 5325400.04443325 -13364.3492684888, 1722497.89069231 5310496.68790818 -13364.3492684888))",2d_linear_centroids_interior,174.5856845711587,-42.28730830054755
9,1,174.56808253704835,-42.16951036568491,174.4899149782773,-42.291447318703696,13.602304446937671,15.543164945319132,4.628553203054014,"POLYGON Z ((1709516.92485501 5323426.23260143 -15543.1649453191, 1722827.89712797 5316789.13401286 -13602.3044469377, 1729521.26221593 5330212.95104824 -13602.3044469377, 1716210.28994297 5336850.0496368 -15543.1649453191, 1709516.92485501 5323426.23260143 -15543.1649453191))",2d_linear_centroids_interior,174.44772472388706,-42.20165351803094
9,2,174.43684193314678,-42.10767169364074,174.3188137921941,-42.2103042421409,15.344904850747415,17.91277931602742,8.631800695742884,"POLYGON Z ((1697789.0982459 5335819.71694575 -17912.7793160274, 1708861.60594863 5326031.68374681 -15344.9048507474, 1718796.29754125 5337270.09568798 -15344.9048507474, 1707723.78983852 5347058.12888693 -17912.7793160274, 1697789.0982459 5335819.71694575 -17912.7793160274))",2d_linear_centroids_interior,174.3099689879872,-42.11572169621294
9,3,174.30033936874685,-42.03114831346856,174.1695436999478,-42.12470041942218,17.843904780060033,20.96125013320417,11.468717323661105,"POLYGON Z ((1686662.47828776 5346446.22849189 -20961.2501332042, 1696670.17531013 5335716.4494514 -17843.90478006, 1707639.45268976 5345947.52729143 -17843.90478006, 1697631.75566739 5356677.30633192 -20961.2501332042, 1686662.47828776 5346446.22849189 -20961.2501332042))",2d_linear_centroids_interior,174.1736188852584,-42.030268401954075
9,4,174.1652879142416,-41.94283453040861,174.03916653425952,-42.039766102195394,21.167264784895046,25.137720031231915,13.422615719569361,"POLYGON Z ((1675759.3436227 5355493.91970502 -25137.7200312319, 1686008.19306131 5345286.24757463 -21167.264784895, 1696593.42311077 5355914.17798464 -21167.264784895, 1686344.57367216 5366121.85011503 -25137.7200312319, 1675759.3436227 5355493.91970502 -25137.7200312319))",2d_linear_centroids_interior,174.039670314675,-41.94593339673799
9,5,174.03173881060886,-41.85853743917382,173.90549636433306,-41.95526601513832,25.028231252149748,30.029817589956217,13.306192912315158,"POLYGON Z ((1665030.32129002 5364779.67187334 -30029.8175899562, 1675043.8925707 5354794.05600289 -25028.2312521497, 1685635.65774309 5365415.47354167 -25028.2312521497, 1675622.08646241 5375401.08941212 -30029.8175899562, 1665030.32129002 5364779.67187334 -30029.8175899562))",2d_linear_centroids_interior,173.90766875940156,-41.86244830764474
